from,to ,weight,ranking,country,year,type,oscar,globe
kingdom,rsa,6,1,EU,1983,a,,
kingdom,mgc,6,1,US,1967,c,1,1
kingdom,aepc,6,1,US,1981,pc,,
kingdom,lepc1,6,1,US,2000,pc,,
kingdom,pwpc,6,1,A,2008,pc,,
kingdom,tmpc,6,1,US,1992,pc,,
kingdom,updc,6,1,US,1912,dc,,
frozen ,cbd,5,1,US,1958,d,1,
frozen ,pdp,5,1,US,1966,p,1,
frozen ,jls,5,1,US,1971,s,,
frozen ,kba,5,1,US,1980,a,,
frozen ,ima,5,1,US,1971,a,,
frozen ,jga1,5,1,EU,1985,a,,
frozen ,cbc,5,1,US,1972,c,,
frozen ,wdpc,5,1,US,1953,pc,,
frozen ,wddc,5,1,US,1953,dc,,
beauty,bcd,4,1,US,1955,d,1,
beauty,dhp,4,1,US,1953,p,,
beauty,scs,4,1,EU,1970,s,,
beauty,ewa,4,1,EU,1990,a,,
beauty,dsa,4,1,EU,1982,a,,
beauty,lea1,4,1,EU,1979,a,,
beauty,amc,4,1,US,1949,c,8,4
beauty,wdpc,4,1,US,1953,pc,,
incredibles,wddc,4,1,US,1953,dc,,
incredibles,bbd,3,1,US,1957,d,2,
incredibles,ngp,3,1,US,1986,p,,
incredibles,bbs,3,1,US,1957,s,,
incredibles,cna,3,1,US,1944,a,,
incredibles,hha,3,1,US,1958,a,1,1
incredibles,sva,3,1,US,1969,a,,
incredibles,mgc,3,1,US,1967,c,1,1
incredibles,ppc,3,1,US,1953,pc,,
fate,wddc,3,1,US,1953,dc,,
fate,fgd,2,1,US,1969,d,,
fate,vdp,2,1,US,1967,p,,
fate,gts,2,1,US,1959,s,,
fate,vda,2,1,EU,1967,a,,
fate,jsa,2,1,US,1967,a,,
fate,dja,2,1,US,1972,a,,
fate,btc,2,1,US,1972,c,,
fate,uppc,2,1,US,1912,pc,,
iron,updc,2,1,US,1912,dc,,
iron,sbd,1,1,US ,1961,d,,
iron,kfp,1,1,US ,1973,p,,
iron,dps,1,1,EU,1975,s,,
iron,rda,1,1,US ,1965,a,,4
iron,gpa,1,1,US ,1972,a,1,1
iron,dca,1,1,US ,1964,a,,2
iron,btc,1,1,US ,1972,c,,
iron,mspc,1,1,US ,1993,pc,,
erdmann,wddc,1,1,US ,1953,dc,,
erdmann,mad,20,2,EU,1976,d,1,
erdmann,map,20,2,EU,1976,p,1,
erdmann,mas,20,2,EU,1976,s,1,
erdmann,sha,20,2,EU,1978,a,,
erdmann,psa,20,2,EU,1946,a,,
erdmann,mwa,20,2,EU,1953,a,,
erdmann,pvc,20,2,EU,1976,c,,
erdmann,kfpc1,20,2,EU,1999,pc,,
erdmann,copc,20,2,EU,1999,pc,,
erdmann,khpc,20,2,EU,2007,pc,,
erdmann,mfpc,20,2,US,2014,pc,,
moon,nfdc,20,2,EU,1956,dc,,
