id,name,type,sex,ranking,ranking_money,ranking_critics,year,director,producer,screenplay,cast1,cast2,cast3,composer,production_company1,production_company2,production_company3,production_company4,distribution_company,box_office,oscar,globe,genre,country
sbd,Shane Black,d,m,,,,1961,,,,,,,,,,,,,,0,0,,US
sca1,Sacha Baron Cohen,a,m,,,,1971,,,,,,,,,,,,,,,2,,EU
scpc,StudioCanal,pc,d,,,,1988,,,,,,,,,,,,,,,,,US
scs,Stephen Chbosky,s,m,,,,1970,,,,,,,,,,,,,,0,0,,US
sedc,Summit Entertainment,dc,d,,,,1991,,,,,,,,,,,,,,,,,US
sha,Sandra Hüller,a,f,,,,1978,,,,,,,,,,,,,,0,0,,EU
sja,Scarlett Johansson,a,f,,,,1984,,,,,,,,,,,,mra,,0,0,,US
ska,Sebastian Koch,a,m,,,,1962,,,,,,,,,,,,,,0,0,,EU
skp,Susan Kirr,p,f,,,,1942,,,,,,,,,,,,,,0,0,,US
sks,Steve Kloves,s,m,,,,1960,,,,,,,,,,,,,,,,,US
slp,Stan Lee,p,m,,,,1922,,,,,,,,,,,,,,0,0,,US
sls,Stieg Larsson,s,m,,,,1954,,,,,,,,,,,,,,0,0,,EU
smpc,Skydance Media,pc,d,,,,2010,,,,,,,,,,,,,,,,,US
sms,Simon Moore,s,m,,,,1958,,,,,,,,,,,,,,,,,US
social,The Social Network,m,d,2,,18,2010,dfd,dbp,ass,jea,jta,aga,trc,cppc,srpc,tspc,rmpc,spdc,"0,225",3,4,drama,US
spa,Sean Penn,a,m,,,,1960,,,,,,,,,,,,,,2,1,,US
spc,Steven Price,c,m,,,,1977,,,,,,,,,,,,,,1,0,,EU
spdc,Sony Pictures,dc,d,,,,1991,,,,,,,,,,,,,,,,,US
sra,Seth Rogen,a,m,,,,1982,,,,,,,,,,,,,,0,0,,CA
srp,Scott Rudin,p,m,,,,1958,,,,,,,,,,,,,,1,0,,US
srpc,Scott Rudin Production,pc,d,,,,1980,,,,,,,,,,,,,,,,,US
ssc,Sufjan Stevens,c,m,,,,1975,,,,,,,,,,,,,,0,0,,US
ssd,Steven Soderbergh,d,m,,,,1963,,,,,,,,,,,,,,,,,US
ssd1,Steven Spielberg,d,m,,,,1946,,,,,,,,,,,,,,3,2,,US
ssp,Soren Staermose,p,m,,,,1952,,,,,,,,,,,,,,0,0,,EU
ssp1,Steven Spielberg,p,m,,,,1946,,,,,,,,,,,,,,3,2,,US
starwars,Star Wars: Das Erwachen der Macht,m,d,1,3,,2015,jad,jap,gls,dra,jba,ada,jwc,wdpc,lfpc,brpc,,wddc,"2,066",0,0,science-fiction,US
sva,Sarah Vowell,a,f,,,,1969,,,,,,,,,,,,,,0,0,,US
swa,Sam Worthington,a,m,,,,1976,,,,,,,,,,,,,,0,0,,AU
swa1,Sigourney Weaver,a,f,,,,1949,,,,,,,,,,,,,,0,0,,US
swa2,Shailene Woodley,a,f,,,,1991,,,,,,,,,,,,,,,,,US
tca,Timothée Chalamet,a,m,,,,1995,,,,,,,,,,,,,,0,0,,US
tca2,Tom Cruise,a,m,,,,1962,,,,,,,,,,,,,,0,3,,US
tja,Tommy Lee Jones,a,m,,,,1946,,,,,,,,,,,,,,1,1,,US
tmd,Terrence Malick,d,m,,,,1943,,,,,,,,,,,,,,0,0,,US
tmpc,The Kennedy/Marshall Company,pc,d,,,,1992,,,,,,,,,,,,,,,,,US
tms,Terrence Malick,s,m,,,,1943,,,,,,,,,,,,,,1,3,,US
erdmann,Toni Erdmann,m,d,2,,1,2016,mad,map,mas,sha,psa,mwa,pvc,kfpc1,copc,khpc,mfpc,nfdc,"0,118",0,0,comedy-drama,EU
tppc,Tencent Pictures,pc,d,,,,2015,,,,,,,,,,,,,,,,,A
tra,Trevante Rhodes,a,m,,,,1990,,,,,,,,,,,,,,0,0,,US
traffic,Traffic: Die Macht des Kartells,m,d,2,,4,2001,ssd,lbp,sms,mda,dca,bta,cmc,iepc,lbpc,bfpc,,ufdc,"0,42",4,0,drama,US
trc,Trent Reznor,c,m,,,,1965,,,,,,,,,,,,,,2,1,,US
tree,The Tree of Life,m,d,2,,19,2011,tmd,skp,tms,bpa,jca,spa,adc,pbpc,rrpc,,,cfdc,"0,058",0,0,drama,US
tspc,Trigger Street Productions,pc,d,,,,1997,,,,,,,,,,,,,,,,,US
ufdc,USA Films Company,dc,d,,,,,,,,,,,,,,,,,,,,,US
ugdc,Universal Pictures Germany,dc,d,,,,1981,,,,,,,,,,,,,,,,,EU
uma,Ulrich Mühe,a,m,,,,1953,,,,,,,,,,,,,,0,0,,EU
updc,Universal Pictures,dc,d,,,,1912,,,,,,,,,,,,,,,,,US
uppc,Universal pictures,pc,d,,,,1912,,,,,,,,,,,,,,,,,US
vda,Vin Diesel,a,m,,,,1977,,,,,,,,,,,,,,0,0,,US
vdp,Vin Diesel,p,m,,,,1967,,,,,,,,,,,,,,0,0,,US
verbl,Verblendung,m,d,2,,3,2009,nad,ssp,sls,mna,npa,lea,jgc,nfpc,wbpc,,,wbdc,"0,104",,,thriller,US
voa,Vincent D´Onofrio,a,m,,,,1959,,,,,,,,,,,,,,0,0,,US
vppc,Voltage Pictures,pc,d,,,,2005,,,,,,,,,,,,,,,,,US
wbdc,Warner Bros. Pictures,dc,d,,,,1923,,,,,,,,,,,,,,,,,US
wbpc,Warner Bros. Pictures,pc,d,,,,1923,,,,,,,,,,,,,,,,,US
wbpc1,Wild Bunch,pc,d,,,,1979,,,,,,,,,,,,,,,,,EU
wbpc2,Wiedemann & Berg,pc,d,,,,2003,,,,,,,,,,,,,,,,,EU
wddc,Walt Disney Studios Motion Pictures,dc,d,,,,1953,,,,,,,,,,,,,,,,,US
wdpc,Walt Disney Studios Motion Pictures,pc,d,,,,1953,,,,,,,,,,,,,,,,,US
wrestler,The Wrestler,m,d,2,,13,2008,dad,dap,rss,mra,mta1,ewa1,cmc1,wbpc1,pppc1,,,fsdc,"0,044",,2,drama,US
wtpc,Working Title Films,pc,d,,,,1984,,,,,,,,,,,,,,,,,US
zps,Zak Penn,s,m,,,,1968,,,,,,,,,,,,,,0,0,,US
zsa,Zoe Saldana,a,f,,,,1978,,,,,,,,,,,,,,0,0,,US
