id,name,type,sex,ranking,ranking_money,ranking_critics,year,director,producer,screenplay,cast1,cast2,cast3,composer,production_company1,production_company2,production_company3,production_company4,distribution_company,box_office,oscar,globe,genre,country
cms,Christopher Markus,s,m,,,,1970,,,,,,,,,,,,,,0,0,,US
cms2,Chris Morgan,s,m,,,,1970,,,,,,,,,,,,,,0,0,,US
cna,Craig T. Nelson,a,m,,,,1944,,,,,,,,,,,,,,0,0,,US
cnd,Christopher Nolan,d,m,,,,1970,,,,,,,,,,,,,,0,0,,EU
cnp,Christopher Nolan,p,m,,,,1970,,,,,,,,,,,,,,0,0,,EU
copc,coop99,pc,d,,,,1999,,,,,,,,,,,,,,,,,AT
country,No Country for Old Men,m,d,2,,20,2007,jcd1,srp,jcs1,tja,jba2,jba1,cbc1,mfpc1,srpc,pcpc,,ugdc,"0,171",4,2,thriller,US
cpa,Chris Pratt,a,m,,,,1979,,,,,,,,,,,,,,,,,US
cppc,Columbia Pictures,pc,d,,,,1919,,,,,,,,,,,,,,,,,US
ctd,Colin Trevorrow,d,m,,,,1976,,,,,,,,,,,,,,0,0,,US
cts,Colin Trevorrow,s,m,,,,1976,,,,,,,,,,,,,,0,0,,US
dad,Darren Aronofsky,d,m,,,,1969,,,,,,,,,,,,,,,,,US
dap,Darren Aronofsky,p,m,,,,1969,,,,,,,,,,,,,,,,,US
dark,The Dark Knight,m,d,2,,10,2008,cnd,cnp,jns1,cba1,hla,aea,jnc,dcpc,wbpc,dcpc1,lppc,wbdc,"1,01",2,1,action,US
dbp,Dana Brunetti,p,m,,,,1973,,,,,,,,,,,,,,0,0,,US
dca,Don Cheadle,a,m,,,,1964,,,,,,,,,,,,,,,2,,US
dcpc,DC Comics,pc,d,,,,1934,,,,,,,,,,,,,,,,,US
dcpc1,DC Films,pc,d,,,,2016,,,,,,,,,,,,,,,,,US
dcs,Derek Connolly,s,m,,,,1976,,,,,,,,,,,,,,,,,US
dec,Danny Elfman,c,m,,,,1953,,,,,,,,,,,,,,0,0,,US
depc,Dune Entertainment,pc,d,,,,2006,,,,,,,,,,,,,,,,,US
descendants,The Descendants,m,d,2,,15,2011,apd,jbp1,aps,gca,swa2,bba,cac,ahpc,,,,fsdc,"0,177",1,1,drama,US
dfd,David Fincher,d,m,,,,1962,,,,,,,,,,,,,,3,1,,US
dga,Donald Glover,a,m,,,,1983,,,,,,,,,,,,,,0,0,,US
dhp,David Hoberman,p,m,,,,1953,,,,,,,,,,,,,,0,0,,US
dhp1,David Heyman,p,m,,,,1961,,,,,,,,,,,,,,,,,EU
dja,Dwayne Johnson,a,m,,,,1972,,,,,,,,,,,,,,0,0,,US
dmpc,DCM Filmdistribution,pc,d,,,,1996,,,,,,,,,,,,,,,,,EU
dop,Diana Ossana,p,f,,,,1949,,,,,,,,,,,,,,1,1,,US
dppc,Dreamworks Pictures,pc,d,,,,1994,,,,,,,,,,,,,,,,,US
dps,Drew Pearce,s,m,,,,1975,,,,,,,,,,,,,,0,0,,EU
dra,Daisy Ridley,a,f,,,,1992,,,,,,,,,,,,,,0,0,,US
dra1,Daniel Radcliffe,a,m,,,,1989,,,,,,,,,,,,,,,,,EU
dsa,Dan Stevens,a,m,,,,1982,,,,,,,,,,,,,,0,0,,EU
dyd,David Yates,d,m,,,,1963,,,,,,,,,,,,,,,,,EU
eba,Eric Bana,a,m,,,,1968,,,,,,,,,,,,,,0,0,,AU
ecp,Ethan Coen,p,f,,,,1957,,,,,,,,,,,,,,4,1,,US
efpc,Esperanto Filmoj,pc,d,,,,2004,,,,,,,,,,,,,,,,,SA
eha,Ed Harris,a,m,,,,1950,,,,,,,,,,,,,,0,2,,US
ela,Evangeline Lilly,a,f,,,,1979,,,,,,,,,,,,,,0,0,,CA
ewa,Emma Watson,a,f,,,,1990,,,,,,,,,,,,,,,,,EU
ewa1,Evan Rachel Wood,a,f,,,,1987,,,,,,,,,,,,,,,,,US
fate,The Fate of the Furious,m,d,1,19,,2017,fgd,vdp,gts,vda,jsa,dja,btc,uppc,,,,updc,"1,236",0,0,action,US
fepc,Fairview Entertainment,pc,d,,,,1996,,,,,,,,,,,,,,,,,US
ffdc,Focus Features,dc,d,,,,2002,,,,,,,,,,,,,,,,,US
ffpc,Frenesy Film Company,pc,d,,,,2012,,,,,,,,,,,,,,,,,EU
fgd,F. Gary Gray,d,m,,,,1969,,,,,,,,,,,,,,0,0,,US
fhd,Florian Henckel von Donnersmarck,d,m,,,,1973,,,,,,,,,,,,,,1,1,,EU
fhs,Florian Henckel von Donnersmarck,s,m,,,,1973,,,,,,,,,,,,,,1,1,,EU
flpc,First Light Production,pc,d,,,,2001,,,,,,,,,,,,,,,,,US
fma,Fred Melamed,a,f,,,,1956,,,,,,,,,,,,,,0,0,,US
fmp,Frank Marshall,p,m,,,,1946,,,,,,,,,,,,,,,,,US
frozen,Frozen,m,d,1,16,,2013,cbd,pdp,jls,kba,ima,jga1,cbc,wdpc,,,,wddc,"1,282",2,1,adventure,US
frozen2,Frozen II,m,d,1,10,,2019,cbd,pdp,jls,kba,ima,jga2,cbc,wdpc,wdpc,,,wddc,"1,45",0,1,musical,US
fsdc,Fox Searchlight Pictures,dc,d,,,,1994,,,,,,,,,,,,,,,,,US
furious,Furious 7,m,d,1,8,,2015,jwd2,vdp,cms2,vda,pwa,dja,btc,orpc,ofpc,mrpc,,updc,"1,52",0,0,action,US
gca,George Clooney,a,m,,,,1961,,,,,,,,,,,,,,2,4,,US
gjs,George Jonas,s,m,,,,1935,,,,,,,,,,,,,,0,0,,EU
gkp,Graham King,p,m,,,,1961,,,,,,,,,,,,,,1,,,EU
gkpc,GK Films,pc,d,,,,2007,,,,,,,,,,,,,,,,,US
gls,George Lucas,s,m,,,,1944,,,,,,,,,,,,,,0,0,,US
gpa,Gwyneth Paltrow,a,f,,,,1972,,,,,,,,,,,,,,1,1,,US
gppc,Grosvenor Park Media,pc,d,,,,1999,,,,,,,,,,,,,,,,,US
gravity,Gravity,m,d,2,,12,2013,acd,acp,acs,sba,gca,eha,spc,wbpc,efpc,hfpc,,wbdc,"0,723",7,4,science-fiction,US
gsc,Gustavo Santaolalla,c,d,,,,1951,,,,,,,,,,,,,,2,1,,SA
gts,Gary Scott Thompson,s,m,,,,1959,,,,,,,,,,,,,,0,0,,US
gun,Top Gun: Maverick,m,d,1,9,,2022,jkd,jbp,jcs2,tca2,jca2,mta,lbc,pppc,smpc,tppc,jbpc,ppdc,"1,46",0,0,action,US
gyc,Gabriel Yared,c,m,,,,1949,,,,,,,,,,,,,,1,1,,EU
hfpc,Heyday Films,pc,d,,,,1996,,,,,,,,,,,,,,,,,EU
hha,Holly Hunter,a,f,,,,1958,,,,,,,,,,,,,,1,1,,US
hla,Heath Ledger,a,m,,,,1979,,,,,,,,,,,,,,1,1,,AU
hsc,Howard Shore,c,m,,,,1946,,,,,,,,,,,,,,3,3,,CA
hugo,Hugo Cabret,m,d,2,,14,2011,msd,gkp,jls1,bka,sca1,aba,hsc,gkpc,inpc,,,ppdc,"0,185",5,,drama,US
hzc,Hans Zimmer,c,m,,,,1957,,,,,,,,,,,,,,2,3,,EU
iepc,Initial Entertainment Group,pc,d,,,,1990,,,,,,,,,,,,,,,,,US
ima,Idina Menzel,a,f,,,,1971,,,,,,,,,,,,,,0,0,,US
impc,Ingenious Media,pc,d,,,,1998,,,,,,,,,,,,,,,,,EU
incredibles,Incredibles 2,m,d,1,18,,2018,bbd,ngp,bbs,cna,hha,sva,mgc,ppc,,,,wddc,"1,243",0,0,action,US
inpc,Infinitum Nihil,pc,d,,,,2004,,,,,,,,,,,,,,,,,US
iron,Iron Man 3,m,d,1,20,,2013,sbd,kfp,dps,rda,gpa,dca,btc,mspc,,,,wddc,"1,214",0,0,action,US
jad,J.J. Abrams,d,m,,,,1978,,,,,,,,,,,,,,,,,US
jap,J.J. Abrams,p,m,,,,1978,,,,,,,,,,,,,,,,,US
jba,John Boyega,a,m,,,,1992,,,,,,,,,,,,,,0,1,,US
jba1,Josh Brolin,a,m,,,,1968,,,,,,,,,,,,,,1,0,,US
jba2,Javier Bardem,a,m,,,,1969,,,,,,,,,,,,,,1,1,,EU
