id,name,type,sex,ranking_money,ranking_critics,year,director,producer,screenplay,cast1,cast2,cast3,composer,production_company1,production_company2,production_company3,production_company4,distribution_company,box_office,oscar,golden_globe,genre,country
sbd,Shane Black,director,m,,,1961,,,,,,,,,,,,,,0,0,,US
sca1,Sacha Baron Cohen,actor,m,,,1971,,,,,,,,,,,,,,,2,,EU
scpc,StudioCanal,production_company,d,,,1988,,,,,,,,,,,,,,,,,US
scs,Stephen Chbosky,screenplay,m,,,1970,,,,,,,,,,,,,,0,0,,US
sedc,Summit Entertainment,distribution_company,d,,,1991,,,,,,,,,,,,,,,,,US
sha,Sandra Hüller,actor,f,,,1978,,,,,,,,,,,,,,0,0,,EU
sja,Scarlett Johansson,actor,f,,,1984,,,,,,,,,,,,mra,,0,0,,US
ska,Sebastian Koch,actor,m,,,1962,,,,,,,,,,,,,,0,0,,EU
skp,Susan Kirr,producer,f,,,1942,,,,,,,,,,,,,,0,0,,US
sks,Steve Kloves,screenplay,m,,,1960,,,,,,,,,,,,,,,,,US
slp,Stan Lee,producer,m,,,1922,,,,,,,,,,,,,,0,0,,US
sls,Stieg Larsson,screenplay,m,,,1954,,,,,,,,,,,,,,0,0,,EU
smpc,Skydance Media,production_company,d,,,2010,,,,,,,,,,,,,,,,,US
sms,Simon Moore,screenplay,m,,,1958,,,,,,,,,,,,,,,,,US
social,The Social Network,movie,d,,18,2010,dfd,dbp,ass,jea,jta,aga,trc,cppc,srpc,tspc,rmpc,spdc,"0,225",3,4,drama,US
spa,Sean Penn,actor,m,,,1960,,,,,,,,,,,,,,2,1,,US
spc,Steven Price,composer,m,,,1977,,,,,,,,,,,,,,1,0,,EU
spdc,Sony Pictures,distribution_company,d,,,1991,,,,,,,,,,,,,,,,,US
sra,Seth Rogen,actor,m,,,1982,,,,,,,,,,,,,,0,0,,CA
srp,Scott Rudin,producer,m,,,1958,,,,,,,,,,,,,,1,0,,US
srpc,Scott Rudin Production,production_company,d,,,1980,,,,,,,,,,,,,,,,,US
ssc,Sufjan Stevens,composer,m,,,1975,,,,,,,,,,,,,,0,0,,US
ssd,Steven Soderbergh,director,m,,,1963,,,,,,,,,,,,,,,,,US
ssd1,Steven Spielberg,director,m,,,1946,,,,,,,,,,,,,,3,2,,US
ssp,Soren Staermose,producer,m,,,1952,,,,,,,,,,,,,,0,0,,EU
ssp1,Steven Spielberg,producer,m,,,1946,,,,,,,,,,,,,,3,2,,US
starwars,Star Wars: Das Erwachen der Macht,movie,d,3,,2015,jad,jap,gls,dra,jba,ada,jwc,wdpc,lfpc,brpc,,wddc,"2,066",0,0,science-fiction,US
sva,Sarah Vowell,actor,f,,,1969,,,,,,,,,,,,,,0,0,,US
swa,Sam Worthington,actor,m,,,1976,,,,,,,,,,,,,,0,0,,AU
swa1,Sigourney Weaver,actor,f,,,1949,,,,,,,,,,,,,,0,0,,US
swa2,Shailene Woodley,actor,f,,,1991,,,,,,,,,,,,,,,,,US
tca,Timothée Chalamet,actor,m,,,1995,,,,,,,,,,,,,,0,0,,US
tca2,Tom Cruise,actor,m,,,1962,,,,,,,,,,,,,,0,3,,US
tja,Tommy Lee Jones,actor,m,,,1946,,,,,,,,,,,,,,1,1,,US
tmd,Terrence Malick,director,m,,,1943,,,,,,,,,,,,,,0,0,,US
tmpc,The Kennedy/Marshall Company,production_company,d,,,1992,,,,,,,,,,,,,,,,,US
tms,Terrence Malick,screenplay,m,,,1943,,,,,,,,,,,,,,1,3,,US
erdmann,Toni Erdmann,movie,d,,1,2016,mad,map,mas,sha,psa,mwa,pvc,kfpc1,copc,khpc,mfpc,nfdc,"0,118",0,0,comedy-drama,EU
tppc,Tencent Pictures,production_company,d,,,2015,,,,,,,,,,,,,,,,,A
tra,Trevante Rhodes,actor,m,,,1990,,,,,,,,,,,,,,0,0,,US
traffic,Traffic: Die Macht des Kartells,movie,d,,4,2001,ssd,lbp,sms,mda,dca,bta,cmc,iepc,lbpc,bfpc,,ufdc,"0,42",4,0,drama,US
trc,Trent Reznor,composer,m,,,1965,,,,,,,,,,,,,,2,1,,US
tree,The Tree of Life,movie,d,,19,2011,tmd,skp,tms,bpa,jca,spa,adc,pbpc,rrpc,,,cfdc,"0,058",0,0,drama,US
tspc,Trigger Street Productions,production_company,d,,,1997,,,,,,,,,,,,,,,,,US
ufdc,USA Films Company,distribution_company,d,,,,,,,,,,,,,,,,,,,,US
ugdc,Universal Pictures Germany,distribution_company,d,,,1981,,,,,,,,,,,,,,,,,EU
uma,Ulrich Mühe,actor,m,,,1953,,,,,,,,,,,,,,0,0,,EU
updc,Universal Pictures,distribution_company,d,,,1912,,,,,,,,,,,,,,,,,US
uppc,Universal pictures,production_company,d,,,1912,,,,,,,,,,,,,,,,,US
vda,Vin Diesel,actor,m,,,1977,,,,,,,,,,,,,,0,0,,US
vdp,Vin Diesel,producer,m,,,1967,,,,,,,,,,,,,,0,0,,US
verbl,Verblendung,movie,d,,3,2009,nad,ssp,sls,mna,npa,lea,jgc,nfpc,wbpc,,,wbdc,"0,104",,,thriller,US
voa,Vincent D´Onofrio,actor,m,,,1959,,,,,,,,,,,,,,0,0,,US
vppc,Voltage Pictures,production_company,d,,,2005,,,,,,,,,,,,,,,,,US
wbdc,Warner Bros. Pictures,distribution_company,d,,,1923,,,,,,,,,,,,,,,,,US
wbpc,Warner Bros. Pictures,production_company,d,,,1923,,,,,,,,,,,,,,,,,US
wbpc1,Wild Bunch,production_company,d,,,1979,,,,,,,,,,,,,,,,,EU
wbpc2,Wiedemann & Berg,production_company,d,,,2003,,,,,,,,,,,,,,,,,EU
wddc,Walt Disney Studios Motion Pictures,distribution_company,d,,,1953,,,,,,,,,,,,,,,,,US
wdpc,Walt Disney Studios Motion Pictures,production_company,d,,,1953,,,,,,,,,,,,,,,,,US
wrestler,The Wrestler,movie,d,,13,2008,dad,dap,rss,mra,mta1,ewa1,cmc1,wbpc1,pppc1,,,fsdc,"0,044",,2,drama,US
wtpc,Working Title Films,production_company,d,,,1984,,,,,,,,,,,,,,,,,US
zps,Zak Penn,screenplay,m,,,1968,,,,,,,,,,,,,,0,0,,US
zsa,Zoe Saldana,actor,f,,,1978,,,,,,,,,,,,,,0,0,,US
