id,name,type,sex,ranking,ranking_money,ranking_critics,director
jba,John Boyega,a,m,,,,
jba1,Josh Brolin,a,m,,,,
jba2,Javier Bardem,a,m,,,,
jbd,J. A. Bayona,d,m,,,,
jbp,Jerry Bruckheimer,p,m,,,,
jbp1,Jim Burke,p,m,,,,
jbpc,Jerry Bruckheimer Films,pc,d,,,,
jca,Jessica Chastain,a,f,,,,
jca2,Jennifer Connelly,a,f,,,,
jcd,James Cameron,d,m,,,,
jcd1,Joel Coen,d,f,,,,
jcp,James Cameron,p,m,,,,
jcs,James Cameron,s,m,,,,
jcs1,Joel Coen,s,m,,,,
jcs2,Jim Cash,s,m,,,,
jea,Jesse Eisenberg,a,m,,,,
jedi,Star Wars: The Last Jedi,m,d,1,14,,rjd
jfd,Jon Favreau,d,m,,,,
jfp,Jon Favreau,p,m,,,,
jga,Jake Gyllenhaal,a,m,,,,
jga1,Jonathan Groff,a,m,,,,
jga2,Josh Gad,a,m,,,,
jgc,Jacob Groth,c,m,,,,
jhc,James Horner,c,m,,,,
jis,James Ivory,s,m,,,,
jkd,Joseph Kosinski,d,m,,,,
jks,Jack Kirby,s,m,,,,
jls,Jennifer Lee,s,f,,,,
jls1,John Logan,s,m,,,,
jnc,James Newton Howard,c,m,,,,
jns,Jeff Nathanson,s,m,,,,
jns1,Jonathan Nolan,s,m,,,,
jra,Jeremy Renner,a,m,,,,
jrd,Joe Russo,d,m,,,,
jrp,Jonas Rivera,p,m,,,,
jsa,Jason Statham,a,m,,,,
jta,Justin Timberlake,a,m,,,,
jurassic,Jurassic World,m,d,1,5,,ctd
jwc,John Williams,c,m,,,,
jwd,Joss Whedon,d,m,,,,
jwd2,James Wan,d,m,,,,
jwp,Joss Whedon,p,m,,,,
jws,Joss Whedon,s,m,,,,
kba,Kristen Bell,a,f,,,,
kbd,Kathryn Bigelow,d,f,,,,
kbp,Kathryn Bigelow,p,f,,,,
kfp,Kevin Feige,p,m,,,,
kfpc,Kingsgate Films,pc,d,,,,
kfpc1,Komplizen Film,pc,d,,,,
khpc,KNM Home Entertainment,pc,d,,,,
kingdom,Jurassic World: Fallen Kingdom,m,d,1,15,,jbd
kkp,Kathleen Kennedy,p,f,,,,
kmpc,The Kennedy/Marshall Company,pc,d,,,,
kommando,Tödliches Kommando: The Hurt Locker,m,d,2,,5,kbd
kopf,Alles steht Kopf,m,d,2,,11,pdd
lba,Lewis Black,a,m,,,,
lbc,Lorne Balfe,c,m,,,,
lbp,Laura Bickford,p,f,,,,
lbpc,Laura Bickford Productions,pc,d,,,,
lca,Linda Cardellini,a,f,,,,
lcpc,La Cinéfacture,pc,d,,,,
lea,Lena Endre,a,f,,,,
