id,type,sex,ranking,ranking_money,ranking_critics,year,director,producer,screenplay,cast1,cast2,cast3,composer,production_company1,production_company2,production_company3,production_company4,distribution_company,box_office,oscar,globe,genre,country
dcpc,pc,d,,,,1934,,,,,,,,,,,,,,,,,US
dcpc1,pc,d,,,,2016,,,,,,,,,,,,,,,,,US
dcs,s,m,,,,1976,,,,,,,,,,,,,,,,,US
dec,c,m,,,,1953,,,,,,,,,,,,,,0,0,,US
depc,pc,d,,,,2006,,,,,,,,,,,,,,,,,US
descendants,m,d,2,,15,2011,apd,jbp1,aps,gca,swa2,bba,cac,ahpc,,,,fsdc,"0,177",1,1,drama,US
dfd,d,m,,,,1962,,,,,,,,,,,,,,3,1,,US
dga,a,m,,,,1983,,,,,,,,,,,,,,0,0,,US
dhp,p,m,,,,1953,,,,,,,,,,,,,,0,0,,US
dhp1,p,m,,,,1961,,,,,,,,,,,,,,,,,EU
dja,a,m,,,,1972,,,,,,,,,,,,,,0,0,,US
dmpc,pc,d,,,,1996,,,,,,,,,,,,,,,,,EU
dop,p,f,,,,1949,,,,,,,,,,,,,,1,1,,US
dppc,pc,d,,,,1994,,,,,,,,,,,,,,,,,US
dps,s,m,,,,1975,,,,,,,,,,,,,,0,0,,EU
dra,a,f,,,,1992,,,,,,,,,,,,,,0,0,,US
dra1,a,m,,,,1989,,,,,,,,,,,,,,,,,EU
dsa,a,m,,,,1982,,,,,,,,,,,,,,0,0,,EU
dyd,d,m,,,,1963,,,,,,,,,,,,,,,,,EU
eba,a,m,,,,1968,,,,,,,,,,,,,,0,0,,AU
ecp,p,f,,,,1957,,,,,,,,,,,,,,4,1,,US
efpc,pc,d,,,,2004,,,,,,,,,,,,,,,,,SA
eha,a,m,,,,1950,,,,,,,,,,,,,,0,2,,US
ela,a,f,,,,1979,,,,,,,,,,,,,,0,0,,CA
ewa,a,f,,,,1990,,,,,,,,,,,,,,,,,EU
ewa1,a,f,,,,1987,,,,,,,,,,,,,,,,,US
fate,m,d,1,19,,2017,fgd,vdp,gts,vda,jsa,dja,btc,uppc,,,,updc,"1,236",0,0,action,US
fepc,pc,d,,,,1996,,,,,,,,,,,,,,,,,US
ffdc,dc,d,,,,2002,,,,,,,,,,,,,,,,,US
ffpc,pc,d,,,,2012,,,,,,,,,,,,,,,,,EU
fgd,d,m,,,,1969,,,,,,,,,,,,,,0,0,,US
fhd,d,m,,,,1973,,,,,,,,,,,,,,1,1,,EU
fhs,s,m,,,,1973,,,,,,,,,,,,,,1,1,,EU
flpc,pc,d,,,,2001,,,,,,,,,,,,,,,,,US
fma,a,f,,,,1956,,,,,,,,,,,,,,0,0,,US
fmp,p,m,,,,1946,,,,,,,,,,,,,,,,,US
frozen,m,d,1,16,,2013,cbd,pdp,jls,kba,ima,jga1,cbc,wdpc,,,,wddc,"1,282",2,1,adventure,US
frozen2,m,d,1,10,,2019,cbd,pdp,jls,kba,ima,jga2,cbc,wdpc,wdpc,,,wddc,"1,45",0,1,musical,US
fsdc,dc,d,,,,1994,,,,,,,,,,,,,,,,,US
furious,m,d,1,8,,2015,jwd2,vdp,cms2,vda,pwa,dja,btc,orpc,ofpc,mrpc,,updc,"1,52",0,0,action,US
gca,a,m,,,,1961,,,,,,,,,,,,,,2,4,,US
gjs,s,m,,,,1935,,,,,,,,,,,,,,0,0,,EU
gkp,p,m,,,,1961,,,,,,,,,,,,,,1,,,EU
gkpc,pc,d,,,,2007,,,,,,,,,,,,,,,,,US
gls,s,m,,,,1944,,,,,,,,,,,,,,0,0,,US
